City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Fallon,US,75.2,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
637,Kattivakkam,IN,82.4,mist,13.2167,80.3167,Raj's villa
638,Kudahuvadhoo,MV,83.71,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
639,Jibuti,DJ,77.0,haze,11.5,42.5,Orchid Main Camp Goubet
642,Senador Guiomard,BR,77.0,few clouds,-10.1522,-67.7392,Paraíso Hotel
645,Marabba,SD,79.57,scattered clouds,12.35,32.1833,
646,Buchanan,LR,78.69,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
650,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
654,Sompeta,IN,81.07,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
656,Harper,LR,78.75,few clouds,4.375,-7.7169,Screensaver
658,Iquitos,PE,77.0,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
665,Salvador,SV,86.0,clear sky,13.8333,-88.9167,Chico's Ranch
667,Saint-Louis,SN,85.5,overcast clouds,16.3333,-15.0,
668,Sembakung,ID,81.75,moderate rain,3.8167,117.25,
669,Urucara,BR,75.15,overcast clouds,-2.5364,-57.76,Hotel japa
674,Pringsewu,ID,80.94,overcast clouds,-5.3582,104.9744,Urban Style by Front One
682,Pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
684,Kidal,ML,78.49,broken clouds,18.4411,1.4078,
691,Samalkha,IN,80.51,broken clouds,29.2333,77.0167,Blue Jay Tourist Complex
692,Taungdwingyi,MM,76.24,overcast clouds,20.0167,95.55,NayNaing MobileService
