City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
155,Minab,27.1467,57.0801,71.6,73,20,4.61,IR,haze
156,Salalah,17.0151,54.0924,77.0,88,0,2.3,OM,clear sky
157,Javanrud,34.7961,46.5172,44.69,65,0,6.96,IR,clear sky
158,Farafangana,-22.8167,47.8333,72.64,88,3,7.14,MG,clear sky
159,Port Alfred,-33.5906,26.891,62.47,81,100,9.35,ZA,light rain
160,Santa Maria,-29.6842,-53.8069,73.4,83,0,3.44,BR,moderate rain
161,Millville,39.4021,-75.0393,66.2,22,1,11.5,US,clear sky
162,New Norfolk,-42.7826,147.0587,61.0,76,20,9.22,AU,few clouds
163,Naze,28.3667,129.4833,66.2,63,75,3.44,JP,broken clouds
164,Sur,22.5667,59.5289,80.22,50,1,6.15,OM,clear sky
165,Vila Velha,-20.3297,-40.2925,75.2,73,0,5.75,BR,clear sky
166,Isabela,6.7085,121.9711,73.4,100,75,3.44,PH,broken clouds
167,Aklavik,68.2191,-135.0107,-0.4,60,75,19.57,CA,snow
168,Jos,9.9167,8.9,73.6,19,7,2.26,NG,clear sky
169,Iqaluit,63.7506,-68.5145,19.4,93,75,17.27,CA,snow
170,Luena,-11.7833,19.9167,65.46,83,100,2.98,AO,overcast clouds
171,Shache,38.4167,77.2406,46.2,72,100,5.3,CN,overcast clouds
172,Porto Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,scattered clouds
173,Kastamonu,41.5,33.6667,37.49,95,98,3.06,TR,overcast clouds
174,Isla Mujeres,21.2311,-86.731,80.01,66,72,8.01,MX,broken clouds
175,Puerto Escondido,15.85,-97.0667,82.65,62,0,4.63,MX,clear sky
176,Arraial Do Cabo,-22.9661,-42.0278,69.8,94,40,2.3,BR,scattered clouds
177,Alistrati,41.0667,23.95,51.01,58,92,0.69,GR,overcast clouds
178,Saskylakh,71.9167,114.0833,-7.11,92,83,8.99,RU,broken clouds
179,Itarema,-2.9248,-39.9167,78.84,84,33,11.01,BR,scattered clouds
180,Alofi,-19.0595,-169.9187,84.2,74,90,10.36,NU,light rain
181,Xichang,27.8964,102.2634,59.9,60,100,2.57,CN,light rain
182,Diebougou,10.9667,-3.25,88.29,17,59,2.26,BF,broken clouds
183,Georgetown,5.4112,100.3354,80.01,94,20,2.3,MY,few clouds
184,Sjovegan,68.8726,17.8474,32.0,100,90,1.39,NO,light snow
185,Dingzhou,38.5131,114.9956,46.4,87,22,4.47,CN,mist
186,Nara,34.6851,135.8049,52.0,62,75,4.61,JP,broken clouds
187,Lavrentiya,65.5833,-171.0,3.6,86,100,6.26,RU,overcast clouds
188,Namibe,-15.1961,12.1522,76.84,78,5,4.18,AO,clear sky
189,Sola,-13.8833,167.55,81.81,72,20,13.82,VU,few clouds
190,Russell,32.3502,-85.1999,77.0,25,1,3.62,US,clear sky
191,Plettenberg Bay,-34.0527,23.3716,60.49,90,100,12.41,ZA,overcast clouds
192,Sakaiminato,35.55,133.2333,51.8,62,40,8.05,JP,scattered clouds
193,Fortuna,40.5982,-124.1573,60.01,58,1,16.11,US,clear sky
194,Pemangkat,1.1667,108.9667,78.49,83,94,6.44,ID,overcast clouds
195,Qaqortoq,60.7167,-46.0333,39.2,75,75,1.14,GL,broken clouds
196,Paralimni,35.0375,33.9833,61.0,88,98,6.91,CY,overcast clouds
197,Maputo,-25.9653,32.5892,69.8,83,40,4.83,MZ,scattered clouds
198,San Patricio,28.017,-97.5169,75.2,69,75,17.27,US,broken clouds
199,Thinadhoo,0.5333,72.9333,83.43,70,84,11.99,MV,broken clouds
200,San Joaquin,37.9333,-121.3011,69.01,45,1,11.5,US,clear sky
201,Camacha,33.0833,-16.3333,60.8,67,20,4.65,PT,few clouds
202,Miguel Hidalgo,19.4225,-99.2028,71.6,18,90,16.11,MX,light rain
203,Bereda,43.2686,-7.5406,45.0,97,35,11.01,ES,scattered clouds
204,Copiapo,-27.3667,-70.3333,64.4,68,0,13.8,CL,clear sky
205,Samsun,41.25,36.3333,46.4,87,75,4.61,TR,light rain
206,Touros,-5.1989,-35.4608,77.0,88,20,4.61,BR,few clouds
207,Shimoda,34.6667,138.95,55.0,71,40,25.32,JP,scattered clouds
208,Fuerte Olimpo,-21.0415,-57.8738,80.46,45,90,4.79,PY,overcast clouds
209,Virginia Beach,36.8529,-75.978,71.6,26,40,6.91,US,scattered clouds
210,Saldanha,-33.0117,17.9442,57.2,88,5,5.75,ZA,clear sky
211,Kulhudhuffushi,6.6221,73.07,82.71,71,60,11.16,MV,broken clouds
212,Tocopilla,-22.092,-70.1979,70.88,75,19,10.2,CL,few clouds
213,Namatanai,-3.6667,152.4333,82.62,74,99,2.42,PG,overcast clouds
214,Turukhansk,65.8167,87.9833,30.02,86,90,11.39,RU,overcast clouds
215,Kiunga,-6.1219,141.2906,80.29,84,96,0.67,PG,overcast clouds
216,Tefe,-3.3542,-64.7114,78.8,94,75,2.3,BR,moderate rain
217,Pisco,-13.7,-76.2167,71.6,73,0,19.57,PE,clear sky
218,Chicama,-7.8447,-79.1469,71.6,83,40,8.05,PE,scattered clouds
219,Denpasar,-8.65,115.2167,80.6,89,40,4.61,ID,light rain
220,Miyako,39.6367,141.9525,41.86,51,71,4.09,JP,broken clouds
221,Sitka,57.0531,-135.33,39.2,100,90,8.05,US,light rain
222,Bani,18.2833,-70.3333,75.99,88,96,4.0,DO,overcast clouds
223,Saint George,37.1041,-113.5841,84.2,8,1,13.8,US,clear sky
224,Micheweni,-4.9667,39.8333,80.78,79,95,9.4,TZ,light rain
225,Raudeberg,61.9875,5.1352,35.01,85,100,39.97,NO,light snow
226,Hobart,-42.8794,147.3294,61.0,76,20,9.22,AU,few clouds
227,Namie,37.4833,141.0,50.0,64,100,12.35,JP,overcast clouds
228,Erzin,36.9559,36.2,55.99,86,98,4.0,TR,overcast clouds
229,Marawi,7.9986,124.2928,78.01,83,100,5.01,PH,overcast clouds
230,Polunochnoye,60.8697,60.4153,22.87,91,11,5.23,RU,few clouds
231,Mandalay,21.9747,96.0836,69.8,73,40,2.77,MM,haze
232,Belgrade,44.804,20.4651,46.99,57,0,8.05,RS,clear sky
233,Praya,14.9215,-23.5087,75.2,43,0,23.02,CV,clear sky
234,Yurgamysh,55.3714,64.4656,27.61,88,16,10.8,RU,few clouds
235,Oromocto,45.8351,-66.4792,42.01,87,90,9.22,CA,overcast clouds
236,Saint-Augustin,51.226,-58.6502,37.24,99,100,16.33,CA,overcast clouds
237,Havelock,34.8791,-76.9013,62.01,67,0,3.0,US,clear sky
238,Chumphon,10.3333,98.8333,77.0,94,20,1.14,TH,few clouds
239,Tura,25.5198,90.2201,70.92,19,0,2.86,IN,clear sky
240,Hasaki,35.7333,140.8333,48.2,71,75,13.8,JP,broken clouds
241,Savannah Bight,16.45,-85.85,75.99,88,90,15.37,HN,overcast clouds
242,Port Hardy,50.6996,-127.4199,48.2,66,20,13.8,CA,few clouds
243,Tiksi,71.6872,128.8694,-10.07,95,38,3.69,RU,scattered clouds
244,Hobyo,5.3505,48.5268,81.34,70,19,10.67,SO,few clouds
245,Saraland,30.8207,-88.0706,72.0,64,1,8.05,US,clear sky
246,Gra Liyia,35.0167,25.6833,66.0,51,96,5.12,GR,overcast clouds
247,Pitimbu,-7.4706,-34.8086,77.0,94,20,4.61,BR,few clouds
248,Aranos,-24.1333,19.1167,72.43,47,68,3.98,NA,broken clouds
249,Fasa,28.9383,53.6482,46.4,34,0,9.22,IR,clear sky
250,Hargeysa,9.56,44.065,66.81,36,32,5.61,SO,scattered clouds
251,Leningradskiy,69.3833,178.4167,1.47,89,97,3.29,RU,overcast clouds
252,Luderitz,-26.6481,15.1594,64.26,79,0,17.29,NA,clear sky
253,Am Timan,11.0297,20.2827,85.26,15,3,5.93,TD,clear sky
254,Dossor,47.5272,52.9811,53.44,47,100,14.9,KZ,overcast clouds
255,Mount Isa,-20.7333,139.5,80.6,54,40,10.36,AU,scattered clouds
256,Ola,59.5833,151.2833,19.62,86,100,4.21,RU,overcast clouds
257,Coquimbo,-29.9533,-71.3436,64.4,63,0,9.22,CL,clear sky
258,Bathsheba,13.2167,-59.5167,78.8,69,20,12.66,BB,few clouds
259,Vysokogornyy,50.1167,139.15,33.1,86,100,6.96,RU,overcast clouds
260,Swan River,52.1058,-101.2676,48.2,43,79,14.97,CA,broken clouds
261,Ostrovnoy,68.0531,39.5131,35.69,87,100,24.38,RU,overcast clouds
