City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Durazno,56.9064,118.2631,12.67,80,66,2.1,RU,2021-04-03 15:29:27
259,Durazno,63.7506,-68.5145,-4.0,59,20,6.4,CA,2021-04-03 15:25:17
260,Durazno,37.4636,-122.4286,51.01,71,90,3.44,US,2021-04-03 15:26:02
261,Durazno,38.7666,-120.5177,57.2,33,1,6.91,US,2021-04-03 15:29:27
262,Durazno,77.484,-69.3632,-11.87,87,100,10.54,GL,2021-04-03 15:29:28
263,Durazno,-8.0089,-34.8553,84.2,65,40,14.97,BR,2021-04-03 15:29:28
264,Durazno,-41.0667,145.9167,60.78,74,3,8.63,AU,2021-04-03 15:28:21
265,Durazno,9.1924,117.8141,80.17,83,44,3.29,PH,2021-04-03 15:29:29
266,Durazno,16.0678,108.2208,80.6,83,40,3.44,VN,2021-04-03 15:29:30
267,Durazno,28.7833,76.1333,82.26,7,0,8.7,IN,2021-04-03 15:29:30
268,Durazno,28.5,-106.0,70.0,34,1,2.35,MX,2021-04-03 15:29:30
269,Durazno,48.6431,31.6366,50.5,40,100,5.12,UA,2021-04-03 15:29:31
270,Durazno,14.9215,-23.5087,86.0,32,0,17.27,CV,2021-04-03 15:29:31
271,Durazno,13.6017,26.6876,90.54,9,32,19.71,SD,2021-04-03 15:25:09
272,Durazno,24.8,125.2833,73.99,83,87,15.86,JP,2021-04-03 15:29:32
273,Durazno,60.9167,-46.05,39.2,81,75,3.44,GL,2021-04-03 15:29:32
274,Durazno,5.3833,-52.95,80.85,80,97,7.43,GF,2021-04-03 15:29:33
275,Durazno,-13.275,-50.1628,82.11,67,100,3.47,BR,2021-04-03 15:29:33
276,Durazno,31.0835,-97.6597,57.2,72,100,13.8,US,2021-04-03 15:29:34
277,Durazno,58.9848,-2.9587,48.2,71,75,31.07,GB,2021-04-03 15:29:34
278,Durazno,32.6941,47.2679,66.34,29,0,17.74,IR,2021-04-03 15:29:35
279,Durazno,64.2956,41.9211,35.6,60,20,4.47,RU,2021-04-03 15:29:35
280,Durazno,57.2645,16.4484,45.0,51,41,5.01,SE,2021-04-03 15:29:36
281,Durazno,53.8485,42.7676,34.07,82,100,8.72,RU,2021-04-03 15:29:36
282,Durazno,-2.5364,-57.76,83.8,72,96,5.32,BR,2021-04-03 15:29:36
283,Durazno,-12.7406,-60.1458,82.4,69,40,9.22,BR,2021-04-03 15:29:37
284,Durazno,36.7631,45.7222,48.31,50,26,9.57,IR,2021-04-03 15:29:37
285,Durazno,3.8653,-67.9239,77.81,89,100,1.57,CO,2021-04-03 15:29:38
286,Durazno,69.3497,87.7602,-13.56,75,1,5.53,RU,2021-04-03 15:29:38
287,Durazno,37.1041,-113.5841,55.4,35,1,3.2,US,2021-04-03 15:29:38
288,Durazno,65.282,-126.8329,-4.0,71,75,4.61,CA,2021-04-03 15:29:39
289,Durazno,-6.6024,147.8681,78.33,88,100,8.61,PG,2021-04-03 15:29:39
290,Durazno,39.2911,44.4521,49.14,43,65,9.93,IR,2021-04-03 15:29:40
291,Durazno,34.4133,-119.861,55.99,87,90,5.75,US,2021-04-03 15:29:40
292,Durazno,23.1,80.05,86.34,7,0,6.51,IN,2021-04-03 15:29:41
293,Durazno,34.9833,139.8667,61.0,84,71,11.61,JP,2021-04-03 15:27:30
294,Durazno,5.8808,-10.0467,89.6,66,40,11.5,LR,2021-04-03 15:29:41
295,Durazno,13.7539,-13.7586,105.8,37,0,4.61,SN,2021-04-03 15:29:42
296,Durazno,27.9054,-15.4461,71.6,56,20,29.93,ES,2021-04-03 15:29:42
297,Durazno,37.2001,-94.3502,59.0,33,1,18.41,US,2021-04-03 15:29:43
298,Durazno,34.7222,5.3785,86.0,12,0,13.8,DZ,2021-04-03 15:29:43
299,Durazno,49.758,129.523,28.27,46,0,8.39,RU,2021-04-03 15:29:44
300,Durazno,71.9667,102.5,-24.99,90,14,4.41,RU,2021-04-03 15:29:44
301,Durazno,54.4815,53.471,33.75,99,100,2.28,RU,2021-04-03 15:29:44
302,Durazno,-22.4333,-151.3333,79.29,64,83,16.35,PF,2021-04-03 15:29:45
303,Durazno,44.3525,143.3525,44.01,77,100,5.99,JP,2021-04-03 15:29:45
304,Durazno,64.3833,-173.3,5.45,93,99,11.68,RU,2021-04-03 15:29:46
